EHA05.20210123T190149
Statistic,Year,Type of Employment,NACE Rev 2 Economic Sector,UNIT,VALUE
Average Total Earnings,2008,Full-time,Construction (F),Euro,42302
Average Total Earnings,2008,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Euro,35556
Average Total Earnings,2008,Full-time,Transportation and storage (H),Euro,44111
Average Total Earnings,2008,Full-time,Accommodation and food service activities (I),Euro,25193
Average Total Earnings,2008,Full-time,Information and communication (J),Euro,54172
Average Total Earnings,2008,Full-time,"Professional, scientific and technical activities (M)",Euro,50718
Average Total Earnings,2008,Full-time,Administrative and support service activities (N),Euro,32531
Average Total Earnings,2008,Full-time,Public administration and defence; compulsory social security (O),Euro,54250
Average Total Earnings,2008,Full-time,Education (P),Euro,52517
Average Total Earnings,2008,Full-time,Human health and social work activities (Q),Euro,49600
Average Total Earnings,2008,Full-time,Industry (B to E),Euro,42708
Average Total Earnings,2008,Full-time,"Financial, insurance and real estate activities (K,L)",Euro,57757
Average Total Earnings,2008,Full-time,"Arts, entertainment, recreation and other service activities (R,S)",Euro,34940
Average Total Earnings,2008,Part-time,Construction (F),Euro,17815
Average Total Earnings,2008,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Euro,12364
Average Total Earnings,2008,Part-time,Transportation and storage (H),Euro,17722
Average Total Earnings,2008,Part-time,Accommodation and food service activities (I),Euro,10201
Average Total Earnings,2008,Part-time,Information and communication (J),Euro,17174
Average Total Earnings,2008,Part-time,"Professional, scientific and technical activities (M)",Euro,14242
Average Total Earnings,2008,Part-time,Administrative and support service activities (N),Euro,12417
Average Total Earnings,2008,Part-time,Public administration and defence; compulsory social security (O),Euro,25101
Average Total Earnings,2008,Part-time,Education (P),Euro,17817
Average Total Earnings,2008,Part-time,Human health and social work activities (Q),Euro,22390
Average Total Earnings,2008,Part-time,Industry (B to E),Euro,19231
Average Total Earnings,2008,Part-time,"Financial, insurance and real estate activities (K,L)",Euro,23974
Average Total Earnings,2008,Part-time,"Arts, entertainment, recreation and other service activities (R,S)",Euro,11425
Average Total Earnings,2008,Apprentices/Trainees,Construction (F),Euro,20571
Average Total Earnings,2008,Apprentices/Trainees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Euro,15597
Average Total Earnings,2008,Apprentices/Trainees,Transportation and storage (H),Euro,19875
Average Total Earnings,2008,Apprentices/Trainees,Accommodation and food service activities (I),Euro,11436
Average Total Earnings,2008,Apprentices/Trainees,Information and communication (J),Euro,17107
Average Total Earnings,2008,Apprentices/Trainees,"Professional, scientific and technical activities (M)",Euro,26059
Average Total Earnings,2008,Apprentices/Trainees,Administrative and support service activities (N),Euro,17083
Average Total Earnings,2008,Apprentices/Trainees,Public administration and defence; compulsory social security (O),Euro,12124
Average Total Earnings,2008,Apprentices/Trainees,Education (P),Euro,10556
Average Total Earnings,2008,Apprentices/Trainees,Human health and social work activities (Q),Euro,17874
Average Total Earnings,2008,Apprentices/Trainees,Industry (B to E),Euro,19402
Average Total Earnings,2008,Apprentices/Trainees,"Financial, insurance and real estate activities (K,L)",Euro,22222
Average Total Earnings,2008,Apprentices/Trainees,"Arts, entertainment, recreation and other service activities (R,S)",Euro,14620
Average Total Earnings,2009,Full-time,Construction (F),Euro,42528
Average Total Earnings,2009,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Euro,34987
Average Total Earnings,2009,Full-time,Transportation and storage (H),Euro,41995
Average Total Earnings,2009,Full-time,Accommodation and food service activities (I),Euro,24854
Average Total Earnings,2009,Full-time,Information and communication (J),Euro,52130
Average Total Earnings,2009,Full-time,"Professional, scientific and technical activities (M)",Euro,50700
Average Total Earnings,2009,Full-time,Administrative and support service activities (N),Euro,31644
Average Total Earnings,2009,Full-time,Public administration and defence; compulsory social security (O),Euro,55064
Average Total Earnings,2009,Full-time,Education (P),Euro,53956
Average Total Earnings,2009,Full-time,Human health and social work activities (Q),Euro,51204
Average Total Earnings,2009,Full-time,Industry (B to E),Euro,43252
Average Total Earnings,2009,Full-time,"Financial, insurance and real estate activities (K,L)",Euro,53547
Average Total Earnings,2009,Full-time,"Arts, entertainment, recreation and other service activities (R,S)",Euro,34300
Average Total Earnings,2009,Part-time,Construction (F),Euro,15433
Average Total Earnings,2009,Part-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Euro,12853
Average Total Earnings,2009,Part-time,Transportation and storage (H),Euro,17765
Average Total Earnings,2009,Part-time,Accommodation and food service activities (I),Euro,10052
Average Total Earnings,2009,Part-time,Information and communication (J),Euro,17920
Average Total Earnings,2009,Part-time,"Professional, scientific and technical activities (M)",Euro,15476
Average Total Earnings,2009,Part-time,Administrative and support service activities (N),Euro,12577
Average Total Earnings,2009,Part-time,Public administration and defence; compulsory social security (O),Euro,26701
Average Total Earnings,2009,Part-time,Education (P),Euro,18429
Average Total Earnings,2009,Part-time,Human health and social work activities (Q),Euro,22898
Average Total Earnings,2009,Part-time,Industry (B to E),Euro,19535
Average Total Earnings,2009,Part-time,"Financial, insurance and real estate activities (K,L)",Euro,23845
Average Total Earnings,2009,Part-time,"Arts, entertainment, recreation and other service activities (R,S)",Euro,11377
Average Total Earnings,2009,Apprentices/Trainees,Construction (F),Euro,21671
Average Total Earnings,2009,Apprentices/Trainees,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Euro,16258
Average Total Earnings,2009,Apprentices/Trainees,Transportation and storage (H),Euro,18015
Average Total Earnings,2009,Apprentices/Trainees,Accommodation and food service activities (I),Euro,11264
Average Total Earnings,2009,Apprentices/Trainees,Information and communication (J),Euro,18333
Average Total Earnings,2009,Apprentices/Trainees,"Professional, scientific and technical activities (M)",Euro,28965
Average Total Earnings,2009,Apprentices/Trainees,Administrative and support service activities (N),Euro,16134
Average Total Earnings,2009,Apprentices/Trainees,Public administration and defence; compulsory social security (O),Euro,14172
Average Total Earnings,2009,Apprentices/Trainees,Education (P),Euro,11792
Average Total Earnings,2009,Apprentices/Trainees,Human health and social work activities (Q),Euro,19379
Average Total Earnings,2009,Apprentices/Trainees,Industry (B to E),Euro,19228
Average Total Earnings,2009,Apprentices/Trainees,"Financial, insurance and real estate activities (K,L)",Euro,23343
Average Total Earnings,2009,Apprentices/Trainees,"Arts, entertainment, recreation and other service activities (R,S)",Euro,14831
Average Total Earnings,2010,Full-time,Construction (F),Euro,41364
Average Total Earnings,2010,Full-time,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Euro,35753
Average Total Earnings,2010,Full-time,Transportation and storage (H),Euro,40793
Average Total Earnings,2010,Full-time,Accommodation and food service activities (I),Euro,25132
